"receiver_position","posteam","total_targets","total_epa","epa_per_target"
"RB","ARI",86,-16.8890277860799,-0.196384044024185
"RB","ATL",125,-12.4735036469871,-0.0997880291758965
"RB","BAL",91,6.91645160775296,0.07600496272256
"RB","BUF",104,20.5316255141044,0.197419476097158
"RB","CAR",92,-22.4171259755754,-0.243664412777993
"RB","CHI",107,-32.3834958790102,-0.302649494196357
"RB","CIN",90,0.811838252928058,0.00902042503253397
"RB","CLE",106,-15.2513749957514,-0.143880896186334
"RB","DAL",112,0.324327652580977,0.00289578261233015
"RB","DEN",154,9.91607019466301,0.0643900661991105
"RB","DET",125,-14.2258208678208,-0.113806566942567
"RB","GB",103,8.12653709764067,0.0788984184236958
"RB","HOU",95,-22.4755085856438,-0.236584300901514
"RB","IND",85,-13.0651054388116,-0.153707122809548
"RB","JAX",91,3.38019662182809,0.0371450178222867
"RB","KC",126,12.6413309953736,0.100328023772806
"RB","LA",73,-14.4766964942578,-0.198310910880244
"RB","LAC",94,-18.0859855698495,-0.192404101806909
"RB","LV",99,-12.8932912184204,-0.130235264832529
"RB","MIA",135,-10.1728824559522,-0.0753546848589053
"RB","MIN",90,-5.27754013134879,-0.0586393347927643
"RB","NE",119,-23.2465273689119,-0.195348969486654
"RB","NO",129,-3.47019110348284,-0.0269007062285492
"RB","NYG",99,-16.132133025585,-0.162950838642273
"RB","NYJ",149,-10.1556828637451,-0.0681589453942623
"RB","PHI",99,-3.70818523343171,-0.0374564164993102
"RB","PIT",119,-13.1004878997085,-0.110088133610996
"RB","SEA",86,-8.86957322026414,-0.103134572328653
"RB","SF",142,14.1086189752243,0.0993564716565094
"RB","TB",106,24.170867750511,0.228027054250104
"RB","TEN",106,1.8135236872237,0.0171087140304122
"RB","WAS",108,21.2845383945484,0.197079059208782
"TE","ARI",179,12.6548536115213,0.0706975062096162
"TE","ATL",174,36.5281377694972,0.209931826261478
"TE","BAL",119,73.1781507796541,0.614942443526505
"TE","BUF",144,9.18145328528141,0.0637600922588987
"TE","CAR",98,-11.4718915357017,-0.117060117711241
"TE","CHI",112,38.7558828012094,0.346034667867941
"TE","CIN",115,-2.55484904679166,-0.0222160786677536
"TE","CLE",183,-16.9289897930338,-0.09250814094554
"TE","DAL",139,31.405184454944,0.225936578812547
"TE","DEN",62,-1.70081362347438,-0.0274324777979739
"TE","DET",168,59.3665898955854,0.353372558902294
"TE","GB",117,34.9685452434128,0.298876455071904
"TE","HOU",127,52.8318610427062,0.41599890584808
"TE","IND",120,39.8149642725961,0.3317913689383
"TE","JAX",168,17.7957726373093,0.105927218079222
"TE","KC",219,70.2096079283579,0.320591817024465
"TE","LA",91,33.5734163305626,0.368938640995193
"TE","LAC",133,29.4158699091862,0.221171954204408
"TE","LV",75,28.192309001761,0.375897453356814
"TE","MIA",57,13.9627586992334,0.244960678933919
"TE","MIN",179,40.1720487444249,0.22442485332081
"TE","NE",122,20.8248324117201,0.17069534763705
"TE","NO",91,12.0739018754801,0.132680240389891
"TE","NYG",107,27.026632233296,0.252585347974729
"TE","NYJ",125,4.83720923194134,0.0386976738555307
"TE","PHI",102,14.9215542172577,0.146289747228016
"TE","PIT",104,8.21623598114413,0.0790022690494628
"TE","SEA",99,28.8277472259952,0.291189365919144
"TE","SF",108,69.4851750402018,0.643381250372239
"TE","TB",101,18.5227602821979,0.183393666160375
"TE","TEN",98,10.5765067415558,0.10792353817914
"TE","WAS",122,-10.410461976545,-0.0853316555454505
"WR","ARI",281,-6.45222230731976,-0.0229616452217785
"WR","ATL",211,11.425360981052,0.0541486302419527
"WR","BAL",321,71.9175798397876,0.224042304796846
"WR","BUF",367,120.974625221809,0.329631131394574
"WR","CAR",345,45.6856576661113,0.132422196133656
"WR","CHI",261,40.7534918569101,0.156143646961342
"WR","CIN",387,119.32030976218,0.308321213855761
"WR","CLE",353,11.1033027090046,0.0314541153229592
"WR","DAL",414,158.774019700238,0.383512124879801
"WR","DEN",264,81.8464566143527,0.310024456872548
"WR","DET",391,147.579230545359,0.377440487328284
"WR","GB",398,124.537380588637,0.312907991428735
"WR","HOU",399,115.027466344345,0.288289389334199
"WR","IND",346,64.1167817674667,0.185308617825048
"WR","JAX",351,55.2864052730994,0.157511126134186
"WR","KC",386,54.4791597658368,0.141137719600613
"WR","LA",428,121.548990247317,0.283992967867563
"WR","LAC",386,84.3155566943384,0.218434084700358
"WR","LV",359,35.3061322984991,0.0983457724192175
"WR","MIA",397,149.936405710149,0.377673566020526
"WR","MIN",338,70.1232905746226,0.207465356729653
"WR","NE",301,-60.3018048204325,-0.200338221994792
"WR","NO",321,87.1779072825086,0.271582265677597
"WR","NYG",279,24.6659274047739,0.0884083419525948
"WR","NYJ",289,-34.1223086797404,-0.118070272248237
"WR","PHI",357,114.482640167706,0.320679664335312
"WR","PIT",301,31.8782534364156,0.105907818725633
"WR","SEA",363,103.33029095998,0.284656448925565
"WR","SF",324,159.335644529526,0.491776680646684
"WR","TB",421,105.712156712414,0.25109775941191
"WR","TEN",273,60.1787916323067,0.220435134184274
"WR","WAS",371,14.1892726996605,0.0382460180583841
