"receiver_position","posteam","total_targets","total_epa","epa_per_target"
"RB","KC",94,17.3680836172486,0.184766846992006
"TE","KC",214,49.2584016234605,0.230179446838601
"WR","KC",214,53.1532909901861,0.248379864440122
